Start,Mean,Group,Summary
1343207511,1343207511,1,Pentathlon includes: swimming cross country running fencing equestrian and shooting? What the hell? #Olympics
1343368906,1343368906,2,Trivia: Has the U.S. ever won a gold medal in #fencing? Test your Olympic knowledge! #olympics #londonolympics
1343357711,1343357711,3,Ready for the #Olympics? See how good vision plays a role in sports like #fencing #London2012
1343295299,1343295299,4,Brava! RT @nprnews: Fencer Mariel Zagunis Will Carry U.S. Flag In Opening Ceremony #fencing #Olympics #London2012
1343353089,1343353089,5,@ChrisRyan77 Check out this gallery of the 10 SEXIEST ladies of the fencing events at #London2012: #Masks
1343363778,1343363778,6,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343301454,1343301454,7,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343365013,1343365013,8,#fencing tweets from #london2012 competitors at - check it out! #socialgames
1343302666,1343302666,9,#fencing tweets from #london2012 competitors at - check it out! #socialgames
1343339937,1343339937,10,RT @britishfencing: The fencing draw for #london2012 is due to begin shortly! #gbrfencing
1343369329,1343369329,11,RT @dkingdotcom: Sadly not allowed to show but I can tell: at ExCel today what a treat #fencing fans are in for when it all kicks off S ...
1343371608,1343371608,12,RT @VSPVisionCare: Ready for the #Olympics? See how good vision plays a role in sports like #fencing #London2012
1343334831,1343334831,13,Away to London biatcchhess #Olympics #fencing #HWFG
1343313894,1343313894,14,RT @CBennettGBR: Check out @pafafe 's painting for the #London2012 @britishfencing team. It's called 'lunging for victory.' Brilliant. h ...
1343333427,1343333427,15,Fencing fans! If you are coming to ExCel for #london2012 give yourself PLENTY OF TIME to get through airport style security #fencing
1343317113,1343317113,16,Not long until the #olympics begins! Will you be watching the fencing? #badpun #fencepun #fencing
1343339805,1343339805,17,The fencing draw for #london2012 is due to begin shortly! #gbrfencing
1343305255,1343305255,18,Hey gang I'm putting together a series of blog posts about #fencing leading into the #Olympics - check it out here:
1343362721,1343362721,19,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343366047,1343366047,20,#fencing tweets from #london2012 competitors at - check it out! #socialgames
1343372099,1343372099,21,Good news all! #london2012 have posted the #fencing draw online now. ME MF MS...
1343307092,1343307092,22,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343336661,1343336661,23,RT @STJ_Fencing: Part One of the Three Part Web Series is now on facebook! #stjfencing #London2012 #TeamUSA #DarylH ...
1343353292,1343353292,24,@ToLey88 Here's a gallery of the 10 SEXIEST ladies of Olympic fencing: #London2012 #Masks
1343371466,1343371466,25,RT @britishfencing: The Olympic Draw for our fencers. Tune into @BBCSport from Saturday morning to hear commentary ...
1343340166,1343340166,26,There's a really hot guy on the British Fencing team. LOL I'm into fencing now. #olympics
1343349462,1343349462,27,Just passed Waterloo station enroute to a prime seat along the fencing near the end of the torch relay #london2012
1343323244,1343323244,28,Tien Nhat from Vietnam is the 4th fencer with Zagunis Vezzali and Flessel to carry flag at #London2012 Congratulations to all! #fencing
1343361793,1343361793,29,still don't get how netball and lacrosse isn't counted as a 'sport' for the #Olympics but fencing and shooting is?! #madness
1343365178,1343365178,30,i have two olympic fencing tickets. all of my friends hate fencing. maybe i'll just gain enough weight to occupy both seats. #london2012
1343352528,1343352528,31,@Deadspin Here's our gallery of the 10 SEXIEST ladies of Olympic fencing: #London2012 #Masks
1343370642,1343370642,32,We'll be rooting for you Ibtihaj! GO TEAM USA! #Olympics #fencing #muslimamerican
1343340922,1343340922,33,@marielzagunis Congratulations & well deserved! #USA #Olympics #fencing
1343367904,1343367904,34,2-time fencing gold medalist Mariel #Zagunis has been selected to be the US flag bearer for Friday's #Olympics opening ceremonies in #London
1343353103,1343353103,35,#fencing #olympics lots drawn TeamGB draw
1343367911,1343367911,36,London 2012 Olympics Fencing Women's Individual Foil - #London2012 #fencing #foil #enguard #odds
1343364542,1343364542,37,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343297395,1343297395,38,So excited for #London2012 olympics  1 day left  top priority of my watch list footballtennis fencing and athletics
1343343634,1343343634,39,RT @britishfencing: The fencing draw for #london2012 is due to begin shortly! #gbrfencing
1343301771,1343301771,40,#fencing tweets from #london2012 competitors at - check it out! #socialgames
1343340672,1343340672,41,Pistols fencing and jumping are coming. Grab a spoon and join @tjmayotte for the show! #London2012
1343364712,1343364712,42,"All for one and one for all!" RT @FencingFan99: #fencing tweets from #london2012 competitors at - check it out!
1343352617,1343352617,43,@universalsports Check out this gallery of the 10 SEXIEST ladies of Olympic fencing: #London2012 #Masks
1343358758,1343358758,44,#TeamUSA flag bearer is @marielzagunis Find out more about this 3rd time Olympian; #fencing #London2012
1343319642,1343319642,45,@DavidhBrown and I off to try some Olympic sports: he #archery me #fencing. By midday we expect to be lethal #lovetheolympics #London2012
1343333505,1343333505,46,Fencing fans! If you are coming to ExCel for #london2012 give yourself PLENTY OF TIME to get through airport style security #fencing
1343342911,1343342911,47,RT @britishfencing: The fencing draw for #london2012 is due to begin shortly! #gbrfencing
1343307510,1343307510,48,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343368639,1343368639,49,#fencing facebook updates from #london2012 athletes and teams at #socialgames
1343328180,1343328180,50,“@tarekfouaddd: @Olympic_Egypt ya I'm Tarek Ayad:D” follow and support Tarek one of our fencing champions. #Egypt #Olympics
